out West;draußen im Westen
state;(Bundes)staat, Land
skier;Skifahrer
American;Amerikaner
Native American;Ureinwohner Amerikas, Indianer, indianisch
tribe;Volksstamm
reservation;Reservat
painting;Gemälde
mythical;sagenhaft, sagenumwoben
natural;natürlich, Natur-
beauty;Schönheit
space;Raum, Fläche
national park;Nationalpark, Naturpark
rodeo;Rodeo
huge;riesig, riesengroß, gewaltig
legal driving age;Mindestalter für den Führerscheinerwerb
legal;legal, rechtlich, Rechts-
driver's license;Führerschein
Indian;Indianer, indianisch
foot (pl. feet);Fuß (Längenmaß 30,48 cm)
low;niedrig
below;unterhalb, unten
sea level;Meeresspiegel
mobility;Mobilität
moving;Umziehen
gerund;Gerundivum
to be tired of (+gerund);einer Sache überdüssig sein, jemands überdrüssig sein
to ski;Ski fahren
to hit the slopes;auf die (Ski)piste gehen
slope;(Ski)piste, (Ab)hang
to keep (+gerund);etwas weiter tun, etwas immer wieder tun
stuff;Zeug
you guys;ihr, euch
to come along;mitkommen
to get, got, gotten (AE);werden, wurde, geworden
to be afraid of (+gerund);(sich) fürchten (vor), Angst haben (vor)
to practise (AE);üben
Easy for you to say;Du hast leicht reden
lodge;Hotel, Pension (in nordamerikanischen Berggebieten)
gas station;Tankstelle
construction;Konstruktion, Aufbau
to feel like (+gerund);Lust haben (auf/zu)
to get used to (+gerund);sich gewöhnen (an)
like;Vorliebe
dislike;Abneigung
to go wrong;schiefgehen
cashier;Kassierer
impolite;unhöflich
coast-to-coast;von Küste zu Küste, landesweit
Mexican;Mexikaner, mexikanisch, aus Mexiko
the French;die Franzosen
mid-;Mitte
the 1800s;das 19. Jahrhundert
however;jedoch
war;Krieg
settler;Siedler
covered wagon;Planwagen
railroad;Eisenbahn
transcontinental;transkontinental
milestone;Meilenstein
opening;Öffnung, öffnen
reality;Realität, Wirklichkeit
route;(Bezeichnug einer amerikanischen Bundesstraße) Strecke, Route
to found;gründen
along;entlang
highway;Bundesstraße, Highway
gateway;(Eingangs)tor
relaxed;entspannt, locker, gelassen
sunset;Sonnenuntergang
passive progressive;Verlaufsform des Passivs
traveling (AE);(das) Reisen
shopping mall;Einkaufszentrum
reaction;Reaktion
to motor;fahren
Get your kicks;Hab deinen Spaß
to wind, wound, wound;sich schlängeln
term;Begriff
rhythm;Rhythmus
diagram;Diagramm
billion-dollar;milliardenschwer
attraction;Attraktion, Sehenswürdigkeit
fedral; Bundes-, föderalistisch
controversial;strittig, umstritten
resort;Ferienort, Ferienanlage
environmental protection;Umweltschutz
to hire;einstellen
journalist;Journalist
to let somebody down;jemanden im Stich lassen, jemanden enttäuschen
looks;Aussehen
developer;Bauunternehmer, Bauunternehmen
Ms.;Frau (Anrede)
as;während, indem
to point;zeigen
breathtaking;atemberaubend
towards;in Richtung, auf ... zu, darauf zu
Nice to meet you;Nett, dich(Sie/euch) kennenzulernen
PR (Public Relations);Öffentlichkeitsarbeit, PR
figure;Figur
surprising;überraschend
to collect oneself;sich sammeln
to carve out;aushöhlen, herausschneiden, gestalten
smile;Lächeln
to experience;erfahren, erleben
horseshoe;Hufeisen
observation platform;Aussichtsplattform
to stick out;(her)vorstehen, herausstehen
canyon;Schlucht, Canyon
Oh my god!;Oh mein Gott!
as;wie
high-quality;qualitativ hochwertig
material;Material
to mix;(ver)mischen, mixen
member;Mitglied
environment;Umwelt, Umgebung
to slip;(aus)rutschen
to let go of;loslassen
couple;Paar
serious;ernst
development;Entwicklung
nature;Natur
generation;Generation
nation;Volk, Nation
to develop;(sich) entwickeln
to admire;bewundern
ugly;hässlich
surburb;Vorort
double standard;Doppelmoral
business people;Geschäftsleute
to reinvest;reinvestieren
to care (about something);(etwas) wichtig nehmen
environmental;Umwelt-, die Umwelt betreffend
critical;kritisch
love at first sight;Liebe auf den ersten Blick
long-time;Langzeit-
editor;Herausgeber, Redakteur, Lektor
explanation;Erklärung, Erläuterung
to set (somebody) up; jemanden reinlegen, jemanden übers Ohr hauen
To us!;Auf uns!
wedding;Hochzeit
anniversary;Jubiläum, Jahrestag
to raise;(er)heben
honey (AE);Schatz, Schätzchen
Let bygones be bygones;Lass die Vergangenheit ruhen
to go wrong;vom rechten Weg abkommen
cliche;Klischee
bad guy;Bösewicht
good guy;der Gute
to portray;darstellen
husband;Ehemann
desert;Wüste
cream;Creme
direction;Richtung
orange juice;Orangensaft
to scare somebody;jemandem Angst machen, jemanden erschrecken
I couldn't help it;ich konnte nicht anders
