downriver;flussabwärts, stromabwärts
raft;Floß
by now;bisher;bis jetzt
to scout something;etwas auskundschaften
rapids (pl.);Stromschnellen
to quit, quit, quit;aufhören, aufgeben
to scare somebody;jemandem Angst machen, jemanden erschrecken
to be pleased;erfreut sein
current;Strömung
to explode;explodieren
to pour;fließen, strömen
joy;Freude
thunder;Donner
lightning;Blitz
to flee, fled, fled;fliehen, flüchten
to march;marschieren
trail;Weg, Pfad
to flip;eine (schnelle Um)drehung machen
to realize;erkennen, realisieren
to stand up to somebody;jemanden die Stirn bieten
to sneer;spotten, spöttisch grinsen
bronc rider;Rodeoreiter
to pull;ziehen
to stumple;stolpern
halfway down;halb unten
to overturn;sich überschlagen
Holy mother!;Heilige Mutter!
perspective;Perspektive, Blickwinkel
