review;Kritik
to feature;etwas groß herausbringen, etwas zeigen (in einem Film etc)
polar bear;Eisbär
poacher;Wilderer
to be set (in);spielen (in), seinen Schauplatz haben (in)
to crash;abstürzen (Flugzeug)
heartless;herzlos, unbarmherzig
unfortunately;leider, unglücklicherweise
storyline;Handlung
predictable;vorhersehbar, voraussagbar, berechenbar
screenplay;Drehbuch
score (for movie etc.);(Titel)musik
screen;Bildschirm
to criticize;kritisieren
element;Element
plot;Handlung
rating;Einstufung
running time;Laufzeit
wish;Wunsch
unforgettable;unvergesslich
backpacking;Wandern, Rucksackreisen
values;Werte, Wertvorstellungen
to solve;lösen
to take somebodies word for it;jemandem glauben
to prefer;vorziehen
to hike;wandern
meeting point;Treffpunkt
to camp;campen, zelten, kampieren
fear;Furcht
instructor;Lehrer, Lehrerin
confidence;Vertrauen, Zuversicht
to dig, dug, dug;graben
garbage;Müll, Abfall
to be nervous about something;wegen etwas nervös sein
profile;Profil, Porträt
spoken;gesprochen
to be stuck;stecken bleiben, festklemmen
she's like ...;sie sagt ...
he goes ...;er sagt ...
